date,trades_count,total_closed_pnl,mean_closed_pnl,median_closed_pnl,profitable_trades,profitable_rate,total_volume_usd,avg_trade_size_usd,avg_execution_price,avg_fee,sentiment_value,sentiment_classification
2024-09-04,1,0.0,0.0,0.0,0,0.0,10184.23,10184.23,3501.3,3.56448,27.0,Fear
2024-09-05,6,0.844608,0.140768,0.0,1,0.16666666666666666,24587.87,4097.9783333333335,2486.7406366666664,1.4342923333333333,29.0,Fear
2024-09-06,3,0.0,0.0,0.0,0,0.0,6986.71,2328.903333333333,1237.0378333333333,0.8011526666666665,22.0,Extreme Fear
2024-09-07,11,427.7629,38.887536363636364,19.534371,11,1.0,1770.7,160.97272727272727,4.554236363636364,0.016766454545454546,23.0,Extreme Fear
2024-09-08,55,4570.599711,83.10181292727272,0.0,10,0.18181818181818182,125308.65,2278.339090909091,1326.4100004,0.8340335867272727,29.0,Fear
2024-09-09,2,0.0,0.0,0.0,0,0.0,4014.4300000000003,2007.2150000000001,0.0115,17.45395,26.0,Fear
2024-09-10,5,130.277376,26.0554752,0.0,1,0.2,100906.41,20181.282,61956.0,7.063446999999999,33.0,Fear
2024-09-11,54,33.237152,0.6155028148148148,0.0,6,0.1111111111111111,115306.26999999999,2135.301296296296,5698.875294074074,0.7195772222222222,37.0,Fear
2024-09-12,298,4947.09612,16.600993691275168,0.0,140,0.4697986577181208,415619.29000000004,1394.6956040268458,3025.4197705738256,0.23774819859060403,31.0,Fear
2024-10-01,105,-517.575636,-4.929291771428572,0.0,16,0.1523809523809524,982393.28,9356.126476190477,11675.99558570476,1.5992354285714283,50.0,Neutral
2024-10-03,39,3174.1498,81.38845641025641,3.9078,29,0.7435897435897436,168509.03,4320.744358974359,36.85013333333333,-0.08530489743589743,37.0,Fear
2024-10-04,5,379.322481,75.86449619999999,0.0,2,0.4,26875.79,5375.158,3460.7400000000002,1.8813047999999999,41.0,Fear
2024-10-05,7,751.363292,107.33761314285714,0.0,1,0.14285714285714285,46679.75,6668.535714285715,2948.3857142857146,2.333987,49.0,Neutral
2024-10-06,38,20.666685,0.5438601315789474,0.0,16,0.42105263157894735,25727.54,677.0405263157895,100.59854210526316,0.1946105,50.0,Neutral
2024-10-07,7,1039.35874,148.47982,0.0,3,0.42857142857142855,71141.59,10163.084285714285,1797.4706428571428,3.5570794285714284,50.0,Neutral
2024-10-08,8,0.0,0.0,0.0,0,0.0,1171.52,146.44,1.873278,0.20968143375,49.0,Neutral
2024-10-09,2,-37.697891,-18.8489455,-18.8489455,0,0.0,1072.6100000000001,536.3050000000001,1168.35575,3.3871325,49.0,Neutral
2024-10-10,3,0.0,0.0,0.0,0,0.0,61986.979999999996,20662.326666666664,59525.666666666664,7.231813333333334,39.0,Fear
2024-10-11,120,306.101266,2.5508438833333336,0.0,34,0.2833333333333333,217171.13999999998,1809.7595,23928.165144133334,0.6129217833333332,32.0,Fear
2024-10-12,742,13108.347372,17.66623635040431,0.8191735,400,0.5390835579514824,1519113.67,2047.3230053908355,3196.3341376913745,0.24809333543126683,49.0,Neutral
2024-11-01,9,-27.733016,-3.081446222222222,0.0,2,0.2222222222222222,37208.31,4134.256666666666,16593.734444444442,1.031833777777778,75.0,Extreme Greed
2024-11-02,22,858.6654840000001,39.030249272727275,0.0,4,0.18181818181818182,203187.14,9235.77909090909,14280.68310090909,1.0671140000000001,72.0,Greed
2024-11-03,41,3588.179495,87.51657304878049,19.0575,39,0.9512195121951219,170029.50999999998,4147.061219512195,2.52165243902439,0.1990578780487805,74.0,Greed
2024-11-04,5,137.992705,27.598541,0.0,1,0.2,43202.95,8640.59,3539.5,3.0242058,70.0,Greed
2024-11-05,1,23.38,23.38,23.38,1,1.0,5845.2,5845.2,2922.6,2.04582,70.0,Greed
2024-11-06,33,100.33031100000001,3.0403124545454547,0.0,8,0.24242424242424243,155912.06,4724.607878787879,23242.402170909092,1.6525562727272727,70.0,Greed
2024-11-07,5,384.395,76.87899999999999,0.0,1,0.2,51696.63,10339.326,3132.18,3.6187632,77.0,Extreme Greed
2024-11-08,4,183.5106,45.87765,0.0,1,0.25,5590.22,1397.555,1339.392283,1.1634545,75.0,Extreme Greed
2024-11-10,4,1107.730416,276.932604,0.0,1,0.25,93496.55,23374.1375,62023.0,8.18094725,78.0,Extreme Greed
2024-11-11,224,1170.9192209999999,5.227317950892856,0.0,30,0.13392857142857142,867856.21,3874.3580803571426,5377.1063734508925,0.685517875,76.0,Extreme Greed
